TWEET TIME: 10/22/19 12:41:13 PM; IMPACTED: False
TWEET TIME: 05/10/19 12:08:32 PM; IMPACTED: True
TWEET TIME: 10/29/19 11:57:16 AM; IMPACTED: False
TWEET TIME: 04/09/19 04:43:57 AM; IMPACTED: False
TWEET TIME: 09/02/19 01:38:19 AM; IMPACTED: N/A
TWEET TIME: 04/20/19 11:20:25 AM; IMPACTED: N/A
TWEET TIME: 08/18/19 06:24:39 AM; IMPACTED: N/A
TWEET TIME: 08/18/19 06:24:28 AM; IMPACTED: N/A
TWEET TIME: 05/24/19 08:56:31 AM; IMPACTED: True
TWEET TIME: 06/12/19 12:19:50 PM; IMPACTED: False
TWEET TIME: 03/16/19 09:07:46 AM; IMPACTED: N/A
TWEET TIME: 07/25/19 12:39:21 PM; IMPACTED: False
TWEET TIME: 10/01/19 09:56:46 AM; IMPACTED: False
TWEET TIME: 07/20/19 02:03:27 AM; IMPACTED: N/A
TWEET TIME: 07/05/19 04:04:05 AM; IMPACTED: False
TWEET TIME: 08/20/19 01:12:34 AM; IMPACTED: False
TWEET TIME: 08/22/19 11:55:43 AM; IMPACTED: False
TWEET TIME: 10/09/19 02:02:19 AM; IMPACTED: False
TWEET TIME: 04/22/19 06:59:19 AM; IMPACTED: False
TWEET TIME: 05/15/19 06:56:51 AM; IMPACTED: False
TWEET TIME: 06/26/19 10:40:12 AM; IMPACTED: False
TWEET TIME: 09/21/19 12:31:35 PM; IMPACTED: N/A
TWEET TIME: 07/25/19 02:06:15 AM; IMPACTED: False
TWEET TIME: 10/29/19 11:51:30 AM; IMPACTED: False
TWEET TIME: 02/05/19 05:08:34 AM; IMPACTED: False
TWEET TIME: 09/18/19 11:55:05 AM; IMPACTED: False
TWEET TIME: 05/10/19 10:53:56 AM; IMPACTED: False
TWEET TIME: 05/11/19 12:04:53 PM; IMPACTED: N/A
TWEET TIME: 01/01/19 02:54:32 AM; IMPACTED: N/A
TWEET TIME: 01/08/19 01:16:09 AM; IMPACTED: False
TWEET TIME: 01/24/19 04:18:30 AM; IMPACTED: False
TWEET TIME: 04/05/19 05:48:18 AM; IMPACTED: False
TWEET TIME: 07/07/19 10:14:04 AM; IMPACTED: N/A
TWEET TIME: 09/18/19 11:49:08 AM; IMPACTED: False
TWEET TIME: 01/05/19 02:48:55 AM; IMPACTED: N/A
TWEET TIME: 06/03/19 07:51:19 AM; IMPACTED: False
